text,Recommend,date,found_helpful
"4. Play the game in peace, knowing the EA app will no longer ruin your experience.",Recommended,Posted: 26 March,"<div class=""review_award_aggregated tooltip"" data-tooltip-html='&lt;div class=""review_award_ctn_hover""&gt;				&lt;div class=""review_award"" data-reaction=""6"" data-reactioncount=""4""&gt;
					&lt;img class=""review_award_icon tooltip"" src=""https://store.akamai.steamstatic.com/public/images/loyalty/reactions/still/6.png?v=5""/&gt;
					&lt;span class=""review_award_count ""&gt;4&lt;/span&gt;
				&lt;/div&gt;
								&lt;div class=""review_award"" data-reaction=""8"" data-reactioncount=""1""&gt;
					&lt;img class=""review_award_icon tooltip"" src=""https://store.akamai.steamstatic.com/public/images/loyalty/reactions/still/8.png?v=5""/&gt;
					&lt;span class=""review_award_count hidden""&gt;1&lt;/span&gt;
				&lt;/div&gt;
								&lt;div class=""review_award"" data-reaction=""18"" data-reactioncount=""1""&gt;
					&lt;img class=""review_award_icon tooltip"" src=""https://store.akamai.steamstatic.com/public/images/loyalty/reactions/still/18.png?v=5""/&gt;
					&lt;span class=""review_award_count hidden""&gt;1&lt;/span&gt;
				&lt;/div&gt;
				&lt;/div&gt;' data-tooltip-class=""review_reward_tooltip""><img src=""https://community.akamai.steamstatic.com/public/shared/images//award_icon_blue.svg"" class=""reward_btn_icon"">6</div>"
"WHY ARE YOU STILL HERE??? you've always knew if you were gonna buy this or not. (and if you do, eat sh*t and go watch the big bang theory)",Not Recommended,Posted: 23 March,"<div class=""review_award_aggregated tooltip"" data-tooltip-html='&lt;div class=""review_award_ctn_hover""&gt;				&lt;div class=""review_award"" data-reaction=""4"" data-reactioncount=""1""&gt;
					&lt;img class=""review_award_icon tooltip"" src=""https://store.akamai.steamstatic.com/public/images/loyalty/reactions/still/4.png?v=5""/&gt;
					&lt;span class=""review_award_count hidden""&gt;1&lt;/span&gt;
				&lt;/div&gt;
								&lt;div class=""review_award"" data-reaction=""10"" data-reactioncount=""1""&gt;
					&lt;img class=""review_award_icon tooltip"" src=""https://store.akamai.steamstatic.com/public/images/loyalty/reactions/still/10.png?v=5""/&gt;
					&lt;span class=""review_award_count hidden""&gt;1&lt;/span&gt;
				&lt;/div&gt;
				&lt;/div&gt;' data-tooltip-class=""review_reward_tooltip""><img src=""https://community.akamai.steamstatic.com/public/shared/images//award_icon_blue.svg"" class=""reward_btn_icon"">2</div>"
Otherwise the game is pretty good.,Not Recommended,Posted: 21 March,"<div class=""review_award_aggregated tooltip"" data-tooltip-html='&lt;div class=""review_award_ctn_hover""&gt;This item has no awards&lt;/div&gt;' data-tooltip-class=""review_reward_tooltip""><img src=""https://community.akamai.steamstatic.com/public/shared/images//award_icon_blue.svg"" class=""reward_btn_icon"">0</div>"
